"","서울특별시","부산광역시","대구광역시","인천광역시","광주광역시","대전광역시","울산광역시","세종특별자치시","경기도","강원도","충청북도","충청남도","전라북도","전라남도","경상북도","경상남도","제주특별자치도"
"0~4세",384,133,100,133,68,71,59,14,600,58,69,96,76,77,112,155,30
"5~9세",368,128,104,133,74,73,56,14,620,63,71,98,79,75,107,158,32
"10~14세",401,142,121,138,84,79,58,12,643,72,77,100,91,85,117,165,34
"15~19세",543,204,165,177,113,111,77,12,787,97,106,135,123,111,163,207,39
"20~24세",681,241,176,196,114,125,77,14,805,105,108,136,121,94,163,194,36
"25~29세",722,204,141,180,90,100,70,11,731,77,87,114,92,76,137,169,29
"30~34세",824,233,160,215,107,110,86,17,904,86,102,141,105,98,164,222,39
"35~39세",768,241,175,226,116,115,91,20,994,96,108,148,118,110,172,243,43
"40~44세",809,264,208,246,130,130,99,19,1116,116,122,160,141,130,198,275,52
"45~49세",790,279,221,252,130,131,109,14,1092,123,131,159,144,142,213,286,52
"50~54세",767,293,216,254,116,123,105,13,1014,127,129,159,143,144,221,275,48
"55~59세",749,307,195,224,104,112,91,11,868,131,122,148,140,142,218,258,43
"60~64세",558,238,143,143,70,76,59,8,567,94,88,111,108,110,170,186,30
"65~69세",436,179,105,105,57,55,38,6,420,70,64,92,95,101,132,138,25
"70~74세",338,139,85,81,45,44,27,5,345,71,62,83,82,97,121,117,21
"75~79세",226,97,63,60,32,32,18,4,261,58,52,75,70,85,106,98,17
"80~84세",122,53,37,36,19,20,11,3,155,32,32,50,47,54,67,62,12
"85세 이상",81,32,21,25,13,13,7,2,104,23,20,31,30,35,42,38,8
